종목명,종목코드,채널,진입일,고정수익%,고정사유,고정일차,트레일링수익%,트레일링사유,트레일링일차,T+5%,T+10%,T+20%,만기수익%,동일봉양방터치
수산세보틱스,017550,랜덤2,2026-08-07,11.14,익절,12,11.36,트레일링손절,13,6.48,0.62,6.53,6.53,
대주산업,003310,랜덤2,2026-08-07,5.32,만기,20,5.32,만기,20,5.07,0.56,5.32,5.32,
BGF리테일,282330,리포트TOP2_단기,2026-08-07,-5.11,손절,4,-5.11,손절,4,-3.65,-3.19,-0.33,-0.33,
농심,004370,리포트TOP2_중기,2026-08-07,9.32,익절,5,5.14,트레일링손절,14,8.70,13.17,3.11,3.11,
포스코퓨처엠,003670,수급TOP2,2026-08-07,13.52,익절,13,18.61,트레일링손절,17,9.36,9.62,17.13,17.13,
LG에너지솔루션,373220,수급TOP2,2026-08-07,1.83,만기,20,1.83,만기,20,3.79,1.69,1.83,1.83,
현대해상,001450,차트TOP2,2026-08-07,10.43,익절,2,5.64,트레일링손절,3,14.96,28.26,29.28,29.28,
비츠로셀,082920,랜덤2,2026-08-06,-8.25,손절,15,-8.25,손절,15,5.60,-2.40,-4.64,-4.64,
KG케미칼,001390,랜덤2,2026-08-06,8.30,익절,1,0.58,트레일링손절,2,2.62,-4.10,2.84,2.84,
HMM,011200,차트TOP2,2026-08-06,9.75,익절,7,1.55,트레일링손절,8,-0.71,1.89,-0.71,-0.71,
휴온스글로벌,084110,랜덤2,2026-08-05,-6.31,손절,8,-6.31,손절,8,-0.59,-6.93,-6.34,-6.34,
아크릴,0007C0,랜덤2,2026-08-05,-11.52,손절,12,-11.52,손절,12,1.40,-2.28,-14.94,-14.94,
주성엔지니어링,036930,리포트TOP2_단기,2026-08-05,-4.69,손절,1,-4.69,손절,1,23.76,26.10,19.49,19.49,
이마트,139480,리포트TOP2_중기,2026-08-05,-6.15,손절,9,-6.15,손절,9,0.25,-9.03,-7.40,-7.40,
코리아써키트,007810,수급TOP2,2026-08-05,24.18,익절,8,7.23,트레일링손절,9,11.82,8.64,-9.35,-9.35,
두산퓨얼셀,336260,수급TOP2,2026-08-05,-16.26,손절,2,-16.26,손절,2,0.28,13.87,9.24,9.24,
삼성물산,028260,차트TOP2,2026-08-05,-3.79,손절,1,-3.79,손절,1,4.23,9.04,8.45,8.45,
